make,model,year,km driven,Ownership,Transmission,Engine,fuel,loaction,reg year,reg_year_int,car_age,price
Tata,Punch Creative Plus,2021.0,30263.0,First Owner,Manual,1199.0,Petrol,Lucknow,Jan 2022,2022.0,4.0,680000.0
Renault,Kiger RXZ,2021.0,65476.0,First Owner,Manual,999.0,Petrol,Lucknow,Jun 2021,2021.0,4.0,562000.0
Ford,Ecosport 1.5 TDCi Titanium BSIV,2019.0,44072.0,First Owner,Manual,1498.0,Diesel,Lucknow,Oct 2019,2019.0,6.0,672000.0
Mercedes-Benz,E-Class Exclusive E 200 BSIV,2019.0,54000.0,First Owner,Automatic,1991.0,Petrol,New Delhi,May 2019,2019.0,6.0,3975000.0
Honda,City V MT,2015.0,48495.0,First Owner,Manual,1497.0,Petrol,Lucknow,Oct 2015,2015.0,10.0,469000.00000000006
Hyundai,EON D Lite,2012.0,36527.0,First Owner,Manual,814.0,Petrol,Lucknow,Jul 2012,2012.0,13.0,220000.00000000003
Hyundai,i20 Active 1.2,2017.0,34748.0,First Owner,Manual,1197.0,Petrol,Lucknow,Feb 2017,2017.0,8.0,457000.0
Skoda,Slavia 1.0 TSI Style,2024.0,30000.0,First Owner,Manual,999.0,Petrol,Lucknow,2024,,1.0,1350000.0
Hyundai,Creta EX BSVI,2021.0,34000.0,First Owner,Manual,1497.0,Petrol,Lucknow,Jun 2021,2021.0,4.0,980000.0000000001
Hyundai,Grand i10 Nios AMT Sportz,2023.0,55000.0,First Owner,Automatic,1197.0,Petrol,Lucknow,Aug 2023,2023.0,2.0,740000.0
Hyundai,Venue SX Diesel BSVI,2022.0,28665.0,First Owner,Manual,1493.0,Diesel,Lucknow,Feb 2022,2022.0,3.0,975000.0
Mahindra,XUV500 W4,2015.0,120000.0,First Owner,Manual,2179.0,Diesel,Lucknow,2015,,10.0,478000.0
Maruti,Swift Dzire VXI,2013.0,19906.0,First Owner,Manual,1197.0,Petrol,Lucknow,Feb 2013,2013.0,12.0,326000.0
Hyundai,i20 Sportz Petrol,2013.0,70611.0,First Owner,Manual,1197.0,Petrol,Lucknow,Jul 2013,2013.0,12.0,239000.0
Maruti,Ertiga VXI,2015.0,12236.0,First Owner,Manual,1462.0,Petrol,Lucknow,Aug 2015,2015.0,10.0,508000.0
Tata,Nexon EV XZ Plus,2021.0,40000.0,First Owner,2023,1198.0,Electric,Lucknow,2023,,4.0,1435000.0
Maruti,Baleno 1.2 Delta,2015.0,59114.0,First Owner,Manual,1197.0,Petrol,Lucknow,Dec 2015,2015.0,10.0,425000.0
Nissan,Magnite XE,2022.0,17465.0,First Owner,Manual,999.0,Petrol,Lucknow,Jul 2022,2022.0,3.0,480999.99999999994
Toyota,Urban cruiser Mid,2021.0,96764.0,First Owner,Manual,1462.0,Petrol,Lucknow,Mar 2021,2021.0,4.0,578000.0
Mercedes-Benz,E-Class E 220d,2024.0,10000.0,First Owner,Automatic,1993.0,Diesel,Lucknow,2024,,1.0,6500000.0
Kia,Seltos HTK Plus D,2021.0,50000.0,First Owner,Manual,1493.0,Diesel,Indore,Jan 2021,2021.0,4.0,1185000.0
Kia,Seltos HTK Plus iMT,2022.0,57094.0,First Owner,Manual,1497.0,Petrol,Indore,Jan 2023,2023.0,3.0,950000.0
Mahindra,XUV300 W8 Option Dual Tone BSIV,2019.0,58000.0,First Owner,Manual,1197.0,Petrol,Indore,Jan 2019,2019.0,6.0,790000.0
Skoda,Superb Elegance 1.8 TSI AT,2015.0,100000.0,First Owner,Automatic,1798.0,Petrol,Indore,2015,,10.0,900000.0
Maruti,S-Presso VXI Opt AT 2019-2022,2022.0,7932.0,First Owner,Automatic,998.0,Petrol,Indore,Aug 2022,2022.0,3.0,437000.0
Kia,Seltos HTX Diesel AT,2022.0,68000.0,First Owner,Automatic,1493.0,Diesel,Indore,Jan 2022,2022.0,3.0,1051000.0
Renault,Triber RXL BSVI,2022.0,5533.0,First Owner,Manual,999.0,Petrol,Indore,Jan 2023,2023.0,3.0,488999.99999999994
Tata,Curvv EV Accomplished 45,2021.0,30000.0,First Owner,2024,1198.0,Electric,Indore,2024,,4.0,1650000.0
BMW,X7 xDrive40d M Sport BSVI,2023.0,14000.0,First Owner,Automatic,2993.0,Diesel,Indore,Mar 2023,2023.0,2.0,11000000.0
Maruti,Alto 800 LXI,2021.0,42000.0,First Owner,Manual,796.0,Petrol,Indore,Jan 2021,2021.0,4.0,375000.0
Maruti,Swift RS VDI,2014.0,85000.0,First Owner,Manual,1248.0,Diesel,Indore,Jan 2015,2015.0,11.0,400000.0
Skoda,Rapid 1.6 MPI AT Style BSIV,2018.0,66000.0,First Owner,Automatic,1598.0,Petrol,Indore,Aug 2018,2018.0,7.0,830000.0000000001
Hyundai,i20 Sportz 1.4 CRDi,2016.0,63000.0,First Owner,Manual,1396.0,Diesel,Indore,Dec 2016,2016.0,9.0,600000.0
Maruti,Wagon R ZXI BSVI,2022.0,45000.0,First Owner,Manual,1197.0,Petrol,Indore,Jan 2022,2022.0,3.0,550000.0
Hyundai,Grand i10 1.2 CRDi Era,2018.0,60000.0,First Owner,Manual,1186.0,Diesel,Indore,Jan 2018,2018.0,7.0,441000.0
Mahindra,XUV500 W11 FWD Diesel,2018.0,60000.0,Second Owner,Manual,2179.0,Diesel,Indore,Dec 2018,2018.0,7.0,1225000.0
Tata,Tiago 1.2 Revotron XZ,2017.0,75757.0,First Owner,Manual,1199.0,Petrol,Indore,Dec 2017,2017.0,8.0,325000.0
Kia,Seltos HTK Plus,2023.0,27000.0,First Owner,Manual,1497.0,Petrol,Indore,May 2023,2023.0,2.0,1100000.0
Maruti,Alto K10 LXI,2014.0,35054.0,Second Owner,Manual,998.0,Petrol,Indore,Dec 2014,2014.0,11.0,210000.0
Kia,Sonet HTK Plus BSVI,2022.0,19010.0,First Owner,Manual,1197.0,Petrol,Indore,Aug 2022,2022.0,3.0,960000.0
Hyundai,i20 Sportz,2024.0,30000.0,First Owner,Manual,1197.0,Petrol,Guwahati,2024,,1.0,900000.0
Hyundai,Santro Xing GLS,2021.0,57000.0,1086 cc,2010,1198.0,Petrol,Guwahati,2010,,4.0,120000.0
Jeep,Compass 2.0 Limited,2017.0,82000.0,Second Owner,Manual,1956.0,Diesel,Guwahati,2017,,8.0,1000000.0
Mahindra,XUV500 W6 2WD,2014.0,80000.0,First Owner,Manual,2179.0,Diesel,Guwahati,2014,,11.0,450000.0
Ford,Figo Petrol Titanium,2012.0,60000.0,First Owner,Manual,1196.0,Petrol,Guwahati,2012,,13.0,160000.0
Tata,Punch Adventure,2024.0,10000.0,First Owner,Manual,1199.0,Petrol,Guwahati,2024,,1.0,800000.0
Maruti,Baleno 1.3 Alpha,2017.0,120000.0,First Owner,Manual,1248.0,Diesel,Guwahati,2017,,8.0,490000.00000000006
Maruti,Swift Dzire VXI 1.2 BS IV,2018.0,35000.0,First Owner,Manual,1197.0,Petrol,Guwahati,2018,,7.0,475000.0
Jeep,Compass 2.0 Limited Opt Diesel BSVI,2022.0,18000.0,First Owner,Manual,1956.0,Diesel,Guwahati,2022,,3.0,2200000.0
Maruti,Swift Dzire LXI 1.2,2021.0,99000.0,1197 cc,2019,1198.0,Petrol,Guwahati,2019,,4.0,490000.00000000006
Mahindra,XUV500 W8 FWD,2014.0,50000.0,First Owner,Manual,2179.0,Diesel,Guwahati,2014,,11.0,535000.0
Toyota,Fortuner 2.7 2WD MT BSIV,2019.0,44000.0,First Owner,Manual,2694.0,Petrol,Guwahati,2019,,6.0,2400000.0
Hyundai,EON Era,2012.0,120000.0,First Owner,Manual,814.0,Petrol,Guwahati,2012,,13.0,180000.0
Hyundai,i10 Magna 1.1L,2008.0,10000.0,First Owner,Manual,1086.0,Petrol,Guwahati,2008,,17.0,100000.0
Hyundai,Creta 1.6 SX Automatic,2021.0,20000.0,1591 cc,2019,1198.0,Petrol,Guwahati,2019,,4.0,900000.0
Renault,KWID RXL,2015.0,30000.0,Third Owner,Manual,799.0,Petrol,Guwahati,2015,,10.0,197000.0
Hyundai,Santro Xing XL,2006.0,60000.0,Second Owner,Manual,1086.0,Petrol,Guwahati,2006,,19.0,200000.0
Hyundai,i20 Sportz 1.4 CRDi,2013.0,70000.0,Second Owner,Manual,1396.0,Diesel,Guwahati,2013,,12.0,300000.0
Chevrolet,Spark 1.0,2010.0,40000.0,First Owner,Manual,995.0,Petrol,Guwahati,2010,,15.0,110000.00000000001
Honda,Jazz 1.2 VX i VTEC,2016.0,50000.0,Second Owner,Manual,1199.0,Petrol,Guwahati,2016,,9.0,390000.0
Maruti,Ertiga CNG VXI,2021.0,32000.0,First Owner,Manual,1462.0,CNG,Patna,Dec 2021,2021.0,4.0,1050000.0
Tata,Tiago XZ Plus,2023.0,4596.0,First Owner,Manual,1199.0,Petrol,Patna,Apr 2023,2023.0,2.0,599000.0
Renault,KWID CLIMBER BSVI,2022.0,19446.0,First Owner,Manual,999.0,Petrol,Patna,Sept 2023,2023.0,3.0,409999.99999999994
Hyundai,Aura SX Option,2020.0,28145.0,Second Owner,Manual,1197.0,Petrol,Patna,Feb 2020,2020.0,5.0,615000.0
Kia,Sonet HTX Turbo DCT BSVI,2021.0,53388.0,First Owner,Automatic,998.0,Petrol,Patna,Nov 2021,2021.0,4.0,775000.0
Mahindra,Scorpio S5,2020.0,41000.0,First Owner,Manual,2179.0,Diesel,Patna,Aug 2020,2020.0,5.0,1275000.0
Kia,Seltos GTX Plus DCT,2019.0,28026.0,First Owner,Automatic,1353.0,Petrol,Patna,Nov 2019,2019.0,6.0,1145000.0
Hyundai,Grand i10 Nios Asta,2019.0,30640.0,First Owner,Manual,1197.0,Petrol,Patna,Nov 2019,2019.0,6.0,508000.0
Tata,Nexon XM,2023.0,30328.0,First Owner,Manual,1199.0,Petrol,Patna,Mar 2023,2023.0,2.0,795000.0
Maruti,Celerio ZXI,2021.0,77031.0,First Owner,Manual,998.0,Petrol,Patna,Feb 2021,2021.0,4.0,399000.0
Honda,Jazz VX,2021.0,27717.0,First Owner,Manual,1199.0,Petrol,Patna,Nov 2021,2021.0,4.0,558000.0
Kia,Seltos HTK Plus iMT,2022.0,5006.0,First Owner,Manual,1497.0,Petrol,Patna,Apr 2022,2022.0,3.0,1110000.0
Tata,Tiago XT BSVI,2021.0,20132.0,First Owner,Manual,1199.0,Petrol,Patna,Mar 2021,2021.0,4.0,501999.99999999994
Honda,Amaze 2nd Gen S BSVI,2022.0,37829.0,Second Owner,Manual,1199.0,Petrol,Patna,Mar 2022,2022.0,3.0,604000.0
Kia,Sonet GTX Plus Turbo DCT BSVI,2021.0,45136.0,First Owner,Automatic,998.0,Petrol,Patna,Apr 2021,2021.0,4.0,815000.0
Mahindra,Thar LX 4WD Hard Top Diesel BSVI,2022.0,16061.0,First Owner,Manual,2184.0,Diesel,Patna,Dec 2022,2022.0,3.0,1292000.0
Kia,Seltos GTX Plus,2021.0,70279.0,First Owner,Manual,1353.0,Petrol,Patna,Feb 2022,2022.0,4.0,1188000.0
Maruti,Baleno Zeta,2021.0,39591.0,First Owner,Manual,1197.0,Petrol,Patna,Jan 2021,2021.0,4.0,612000.0
Kia,Sonet HTK Plus BSVI,2020.0,30243.0,First Owner,Manual,1197.0,Petrol,Patna,Dec 2020,2020.0,5.0,638000.0
Maruti,Baleno Delta,2022.0,12311.0,First Owner,Manual,1197.0,Petrol,Patna,Jan 2023,2023.0,3.0,675000.0
Honda,Amaze VX Diesel,2013.0,97426.0,First Owner,Manual,1498.0,Diesel,Bhubaneswar,Sept 2013,2013.0,12.0,270000.0
Audi,Q5 2.0 TDI,2014.0,100000.0,Second Owner,Automatic,1968.0,Diesel,Bhubaneswar,Jul 2014,2014.0,11.0,1280000.0
Maruti,S Cross DDiS 200 Alpha,2017.0,60076.0,First Owner,Manual,1248.0,Diesel,Bhubaneswar,Nov 2017,2017.0,8.0,635000.0
Honda,Jazz 1.5 SV i DTEC,2017.0,349183.0,First Owner,Manual,1498.0,Diesel,Bhubaneswar,Sept 2017,2017.0,8.0,380000.0
Audi,Q5 2.0 TDI,2012.0,120000.0,Second Owner,Automatic,1968.0,Diesel,Bhubaneswar,Feb 2013,2013.0,13.0,1000000.0
BMW,X3 xDrive20d,2012.0,152000.0,First Owner,Automatic,1995.0,Diesel,Bhubaneswar,Jan 2013,2013.0,13.0,1100000.0
Maruti,Swift VXI BSVI,2022.0,41250.0,First Owner,Manual,1197.0,Petrol,Bhubaneswar,May 2022,2022.0,3.0,635000.0
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2018.0,48177.0,First Owner,Manual,1197.0,Petrol,Bhubaneswar,Jan 2019,2019.0,7.0,420000.0
BMW,6 Series GT 620d Luxury Line,2019.0,50000.0,First Owner,Automatic,1995.0,Diesel,Bhubaneswar,Jul 2019,2019.0,6.0,3800000.0
Maruti,Vitara Brezza ZDi AMT,2017.0,69651.0,First Owner,Automatic,1248.0,Diesel,Bhubaneswar,Mar 2017,2017.0,8.0,575000.0
Maruti,Baleno 1.2 CVT Zeta,2018.0,43966.0,First Owner,Automatic,1197.0,Petrol,Bhubaneswar,Feb 2018,2018.0,7.0,570000.0
Honda,City CVT,2019.0,29126.0,First Owner,Automatic,1497.0,Petrol,Bhubaneswar,Apr 2019,2019.0,6.0,900000.0
Hyundai,Tucson 2.0 e-VGT 2WD AT GLS,2016.0,610000.0,Second Owner,Automatic,1995.0,Diesel,Bhubaneswar,Mar 2017,2017.0,9.0,980000.0000000001
Honda,City VX MT,2018.0,131539.0,First Owner,Manual,1497.0,Petrol,Bhubaneswar,Jan 2019,2019.0,7.0,670000.0
Hyundai,Xcent 1.2 CRDi SX,2018.0,67981.0,Second Owner,Manual,1186.0,Diesel,Bhubaneswar,Apr 2019,2019.0,7.0,409999.99999999994
